feature,importance,weight,gain,cover,total_gain,total_cover
location_city_Belmont Shore,0.0006564946961589158,61.0,0.008143645711243153,1642.229248046875,0.49676239490509033,100175.984375
location_city_Pike-Market,0.0006427481421269476,72.0,0.007973123341798782,1980.32080078125,0.5740648508071899,142583.09375
location_city_Emerald Hills,0.0006325304857455194,56.0,0.007846375927329063,1778.982177734375,0.43939703702926636,99623.0
day_of_week_sun,0.0006275955238379538,434.0,0.007785158697515726,254.98507690429688,3.3787589073181152,110663.5234375
day_of_month_bucket_week_1,0.0005794076132588089,237.0,0.007187400478869677,300.18463134765625,1.703413963317871,71143.7578125
location_city_Sammamish,0.0005003567785024643,73.0,0.006206795573234558,1190.2388916015625,0.45309609174728394,86887.4375
lead_time_bucket_same_day,0.00044701251317746937,4.0,0.00554507365450263,1248.615234375,0.02218029461801052,4994.4609375
day_of_week_sat,0.00040489088860340416,268.0,0.005022565834224224,273.5845031738281,1.3460476398468018,73320.6484375
location_city_Downtown Long Beach,0.00039945743628777564,91.0,0.004955165553838015,1794.7373046875,0.45092007517814636,163321.09375
location_city_Seal Beach,0.0003735392529051751,16.0,0.004633657168596983,2097.314697265625,0.07413851469755173,33557.03515625
location_city_Woodinville,0.00035582439159043133,3.0,0.004413908813148737,39.14666748046875,0.013241725973784924,117.44000244140625
location_city_Beacon Hill,0.0003372097562532872,28.0,0.004182999022305012,2126.222412109375,0.11712396889925003,59534.23046875
month_mar,0.0002981178113259375,21.0,0.0036980737932026386,265.50457763671875,0.07765954732894897,5575.59619140625
location_city_Kingston,0.00026134660583920777,3.0,0.003241936443373561,37.990333557128906,0.009725809097290039,113.97100067138672
location_city_Santa Clara,0.0002541651192586869,64.0,0.0031528519466519356,2033.8074951171875,0.20178252458572388,130163.6796875
location_city_West Seattle,0.0002513705985620618,27.0,0.0031181867234408855,1969.0650634765625,0.08419103920459747,53164.7578125
location_city_San Bruno,0.0001916976470965892,2.0,0.0023779594339430332,4.61299991607666,0.0047559188678860664,9.22599983215332
location_city_North Miami Beach,0.00012662693916354328,2.0,0.0015707742422819138,7.644999980926514,0.0031415484845638275,15.289999961853027
location_city_Capitol Hill,9.876547119347379e-05,16.0,0.0012251599691808224,1877.280029296875,0.019602559506893158,30036.48046875
lead_time_bucket_days_31_plus,8.878228982212022e-05,3.0,0.0011013211915269494,5.48099946975708,0.00330396369099617,16.4429988861084
beds,0.0,0.0,0.0,0.0,0.0,0.0
is_holiday,0.0,0.0,0.0,0.0,0.0,0.0
holiday_streak_length,0.0,0.0,0.0,0.0,0.0,0.0
is_long_weekend,0.0,0.0,0.0,0.0,0.0,0.0
distance_to_target_km,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.0,0.0,0.0,0.0,0.0,0.0
lng,0.0,0.0,0.0,0.0,0.0,0.0
has_wifi,0.0,0.0,0.0,0.0,0.0,0.0
has_kitchen,0.0,0.0,0.0,0.0,0.0,0.0
has_washer,0.0,0.0,0.0,0.0,0.0,0.0
has_dryer,0.0,0.0,0.0,0.0,0.0,0.0
has_ac,0.0,0.0,0.0,0.0,0.0,0.0
has_heating,0.0,0.0,0.0,0.0,0.0,0.0
has_pool,0.0,0.0,0.0,0.0,0.0,0.0
has_hot_tub,0.0,0.0,0.0,0.0,0.0,0.0
has_free_parking,0.0,0.0,0.0,0.0,0.0,0.0
has_ev_charger,0.0,0.0,0.0,0.0,0.0,0.0
has_gym,0.0,0.0,0.0,0.0,0.0,0.0
has_bbq,0.0,0.0,0.0,0.0,0.0,0.0
location_country_code_unknown,0.0,0.0,0.0,0.0,0.0,0.0
location_state_unknown,0.0,0.0,0.0,0.0,0.0,0.0
location_city_Doral,0.0,0.0,0.0,0.0,0.0,0.0
location_city_Hallandale Beach City Center,0.0,0.0,0.0,0.0,0.0,0.0
location_city_Snohomish,0.0,0.0,0.0,0.0,0.0,0.0
location_city_Zephyr Cove,0.0,0.0,0.0,0.0,0.0,0.0
location_postal_prefix_unknown,0.0,0.0,0.0,0.0,0.0,0.0
geo_bucket_0.00_0.00,0.0,0.0,0.0,0.0,0.0,0.0
holiday_window_type_regular,0.0,0.0,0.0,0.0,0.0,0.0
